"stock_code","stock_name","market","industry_code","industry_name","source_url","source_as_of","synced_at","close_price","change_val","change_pct","volume","quote_date"
"4565",宏偉,TPEX_EMERGING,"05",電機機械,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"4570",傑生,TPEX_EMERGING,"05",電機機械,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"4573",高明鐵,TPEX_EMERGING,"05",電機機械,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"4575",銓寶,TPEX_EMERGING,"05",電機機械,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"4582",聚恆,TPEX_EMERGING,"35",綠能環保,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"4587",寶元數控,TPEX_EMERGING,"05",電機機械,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"4589",碩陽電機,TPEX_EMERGING,"05",電機機械,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"4724",宣捷幹細胞,TPEX_EMERGING,"22",生技醫療業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"4732",彥臣,TPEX_EMERGING,"22",生技醫療業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"4738",大同精化,TPEX_EMERGING,"21",化學工業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"4765",磐采,TPEX_EMERGING,"21",化學工業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"4925",智微,TPEX_EMERGING,"24",半導體業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"4980",佐臻,TPEX_EMERGING,"28",電子零組件業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"5240",建騰,TPEX_EMERGING,"26",光電業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"5246",勵威,TPEX_EMERGING,"24",半導體業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"5248",景傳,TPEX_EMERGING,"26",光電業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"5254",欣訊科技,TPEX_EMERGING,"28",電子零組件業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"5262",立達,TPEX_EMERGING,"24",半導體業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"5267",龍翩,TPEX_EMERGING,"26",光電業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"5271",紘通,TPEX_EMERGING,"28",電子零組件業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"5297",廣化,TPEX_EMERGING,"24",半導體業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"5859",遠壽,TPEX_EMERGING,"17",金融保險,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"5863",瑞興銀,TPEX_EMERGING,"17",金融保險,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"6027",德信,TPEX_EMERGING,"17",金融保險,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"6035",悠遊卡,TPEX_EMERGING,"17",金融保險,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"6407",相互,TPEX_EMERGING,"28",電子零組件業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"6428",台灣淘米,TPEX_EMERGING,"32",文化創意業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"6434",達輝光電,TPEX_EMERGING,"26",光電業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"6467",泰合,TPEX_EMERGING,"22",生技醫療業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"6473",美賣*,TPEX_EMERGING,"36",數位雲端,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"6483",原創生醫,TPEX_EMERGING,"22",生技醫療業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"6493",雷虎生,TPEX_EMERGING,"22",生技醫療業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"6518",康科特,TPEX_EMERGING,"22",生技醫療業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"6536",碩豐,TPEX_EMERGING,"30",資訊服務業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"6539",麗彤,TPEX_EMERGING,"22",生技醫療業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"6543",普惠醫工,TPEX_EMERGING,"22",生技醫療業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"6549",景凱,TPEX_EMERGING,"22",生技醫療業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"6555",榮炭,TPEX_EMERGING,"28",電子零組件業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"6559",研晶,TPEX_EMERGING,"26",光電業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
"6563",映智,TPEX_EMERGING,"24",半導體業,https://www.tpex.org.tw/openapi/v1/mopsfin_t187ap03_R,"1150412","2026-04-13T14:37:21+0800",,,,,
